lenght1,angle1,lenght2,angle2,lenght3,angle3,result,radius1,radius2
25.0,0,140.585,90,250.0,-135,1,178253516.03,257149900157.613
25.0,0,140.585,90,250.0,-90,1,178253516.03,559950925391.783
25.0,0,140.585,90,250.0,-45,1,178253516.03,313171147575.267
25.0,0,140.585,90,250.0,0,1,178253516.03,3889285248.243
25.0,0,140.585,90,250.0,45,1,178253516.03,127697267793.494
25.0,0,140.585,90,250.0,90,1,178253516.03,158109754008.585
25.0,0,140.585,90,250.0,135,1,178253516.03,15275285253.402
25.0,0,250.0,90,25.0,-135,0,491778592.034,922390457905.015
25.0,0,250.0,90,25.0,-90,0,491778592.034,2502367707476.122
25.0,0,250.0,90,25.0,-45,0,491778592.034,1571039856210.65
25.0,0,250.0,90,25.0,0,0,491778592.034,21914928259.405
25.0,0,250.0,90,25.0,45,0,491778592.034,772516493322.471
25.0,0,250.0,90,25.0,90,0,491778592.034,1133199020486.866
25.0,0,250.0,90,25.0,135,0,491778592.034,194620165960.078
25.0,0,250.0,90,44.457,-135,0,491778592.034,990846904906.536
25.0,0,250.0,90,44.457,-90,0,491778592.034,2682864433554.885
25.0,0,250.0,90,44.457,-45,0,491778592.034,1677376374121.369
25.0,0,250.0,90,44.457,0,0,491778592.034,21914928259.406
25.0,0,250.0,90,44.457,45,0,491778592.034,838652699503.354
25.0,0,250.0,90,44.457,90,0,491778592.034,1223283579619.115
25.0,0,250.0,90,44.457,135,0,491778592.034,209680463901.721
25.0,0,250.0,90,79.057,-135,0,491778592.034,1118634301819.415
25.0,0,250.0,90,79.057,-90,0,491778592.034,3019363806444.869
25.0,0,250.0,90,79.057,-45,0,491778592.034,1875073647388.359
25.0,0,250.0,90,79.057,0,0,491778592.034,21914928259.405
25.0,0,250.0,90,79.057,45,0,491778592.034,962970551212.862
25.0,0,250.0,90,79.057,90,0,491778592.034,1391989411769.932
25.0,0,250.0,90,79.057,135,0,491778592.034,237848203200.51
25.0,0,250.0,90,140.585,-135,0,491778592.034,1365014180961.093
25.0,0,250.0,90,140.585,-90,0,491778592.034,3666844816561.478
25.0,0,250.0,90,140.585,-45,0,491778592.034,2253830816094.975
25.0,0,250.0,90,140.585,0,0,491778592.034,21914928259.405
25.0,0,250.0,90,140.585,45,0,491778592.034,1205256645245.676
25.0,0,250.0,90,140.585,90,0,491778592.034,1718904633055.912
25.0,0,250.0,90,140.585,135,0,491778592.034,292321770339.622
25.0,0,250.0,90,250.0,-135,0,491778592.034,1863677020798.282
25.0,0,250.0,90,250.0,-90,0,491778592.034,4973513786732.916
25.0,0,250.0,90,250.0,-45,0,491778592.034,3013384598074.731
25.0,0,250.0,90,250.0,0,0,491778592.034,21914928259.405
25.0,0,250.0,90,250.0,45,0,491778592.034,1703204459013.255
25.0,0,250.0,90,250.0,90,0,491778592.034,2385359055724.062
25.0,0,250.0,90,250.0,135,0,491778592.034,403054984877.94
25.0,0,25.0,135,25.0,-135,0,4615225.25,135383257.024
25.0,0,25.0,135,25.0,-90,0,4615225.25,75989549.172
25.0,0,25.0,135,25.0,-45,0,4615225.25,14966736.475
25.0,0,25.0,135,25.0,0,0,4615225.25,268331.662
25.0,0,25.0,135,25.0,45,0,4615225.25,5.1526319965139736e+16
25.0,0,25.0,135,25.0,90,0,4615225.25,2472674.773
25.0,0,25.0,135,25.0,135,0,4615225.25,34669790.732
25.0,0,25.0,135,44.457,-135,0,4615225.25,194314264.359
25.0,0,25.0,135,44.457,-90,0,4615225.25,105812309.127
25.0,0,25.0,135,44.457,-45,0,4615225.25,19735159.886
25.0,0,25.0,135,44.457,0,0,4615225.25,268331.662
25.0,0,25.0,135,44.457,45,0,4615225.25,2.8975369438524668e+16
25.0,0,25.0,135,44.457,90,0,4615225.25,3879520.438
25.0,0,25.0,135,44.457,135,0,4615225.25,51902531.755
25.0,0,25.0,135,79.057,-135,0,4615225.25,325342022.424
25.0,0,25.0,135,79.057,-90,0,4615225.25,171012883.189
25.0,0,25.0,135,79.057,-45,0,4615225.25,29841090.634
25.0,0,25.0,135,79.057,0,0,4615225.25,268331.662
25.0,0,25.0,135,79.057,45,0,4615225.25,1.6294040997362472e+16
25.0,0,25.0,135,79.057,90,0,4615225.25,7160657.506
25.0,0,25.0,135,79.057,135,0,4615225.25,91106586.794
25.0,0,25.0,135,140.585,-135,0,4615225.25,641295773.991
25.0,0,25.0,135,140.585,-90,0,4615225.25,325432898.183
25.0,0,25.0,135,140.585,-45,0,4615225.25,52954989.487
25.0,0,25.0,135,140.585,0,0,4615225.25,268331.662
25.0,0,25.0,135,140.585,45,0,4615225.25,9162840979681116.0
25.0,0,25.0,135,140.585,90,0,4615225.25,15459949.26
25.0,0,25.0,135,140.585,135,0,4615225.25,187888722.544
25.0,0,25.0,135,250.0,-135,0,4615225.25,1465474254.897
25.0,0,25.0,135,250.0,-90,0,4615225.25,721710915.869
25.0,0,25.0,135,250.0,-45,0,4615225.25,110321722.885
25.0,0,25.0,135,250.0,0,0,4615225.25,268331.662
25.0,0,25.0,135,250.0,45,0,4615225.25,5152631996513761.0
25.0,0,25.0,135,250.0,90,0,4615225.25,38012260.89
25.0,0,25.0,135,250.0,135,0,4615225.25,445590152.037
25.0,0,44.457,135,25.0,-135,0,8922918.055,698024455.313
25.0,0,44.457,135,25.0,-90,0,8922918.055,779214326.316
25.0,0,44.457,135,25.0,-45,0,8922918.055,312290641.565
25.0,0,44.457,135,25.0,0,0,8922918.055,13216281.266
25.0,0,44.457,135,25.0,45,0,8922918.055,15542729.444
25.0,0,44.457,135,25.0,90,0,8922918.055,4276628.944
25.0,0,44.457,135,25.0,135,0,8922918.055,6822489.892
25.0,0,44.457,135,44.457,-135,0,8922918.055,910116697.962
25.0,0,44.457,135,44.457,-90,0,8922918.055,998242658.985
25.0,0,44.457,135,44.457,-45,0,8922918.055,386918844.657
25.0,0,44.457,135,44.457,0,0,8922918.055,13216281.266
25.0,0,44.457,135,44.457,45,0,8922918.055,23164234.304
25.0,0,44.457,135,44.457,90,0,8922918.055,5937156.18
25.0,0,44.457,135,44.457,135,0,8922918.055,9023350.875
25.0,0,44.457,135,79.057,-135,0,8922918.055,1356678283.023
25.0,0,44.457,135,79.057,-90,0,8922918.055,1454664140.188
25.0,0,44.457,135,79.057,-45,0,8922918.055,539361441.39
25.0,0,44.457,135,79.057,0,0,8922918.055,13216281.266
25.0,0,44.457,135,79.057,45,0,8922918.055,40461196.346
25.0,0,44.457,135,79.057,90,0,8922918.055,9561480.034
25.0,0,44.457,135,79.057,135,0,8922918.055,13695905.919
25.0,0,44.457,135,140.585,-135,0,8922918.055,2370249617.281
25.0,0,44.457,135,140.585,-90,0,8922918.055,2477944296.618
25.0,0,44.457,135,140.585,-45,0,8922918.055,872844525.271
25.0,0,44.457,135,140.585,0,0,8922918.055,13216281.266
25.0,0,44.457,135,140.585,45,0,8922918.055,83058552.17
25.0,0,44.457,135,140.585,90,0,8922918.055,18129746.402
