lenght1,angle1,lenght2,angle2,result,radius1
6.3,0,11.635,140,0,11626.853
6.3,0,11.635,150,0,790.933
6.3,0,11.635,160,0,6.625
6.3,0,11.635,170,0,48.097
6.3,0,21.488,0,1,0.0
6.3,0,21.488,10,1,3923.606
6.3,0,21.488,20,0,15058.094
6.3,0,21.488,30,0,31737.318
6.3,0,21.488,40,0,51476.487
6.3,0,21.488,50,0,71402.202
6.3,0,21.488,60,0,88729.557
6.3,0,21.488,70,0,101220.602
6.3,0,21.488,80,0,107553.437
6.3,0,21.488,90,0,107562.814
6.3,0,21.488,100,0,102387.545
6.3,0,21.488,110,0,94807.031
6.3,0,21.488,120,0,91651.487
6.3,0,21.488,130,0,146262.588
6.3,0,21.488,140,0,34574.549
6.3,0,21.488,150,0,2430.544
6.3,0,21.488,160,0,40.894
6.3,0,21.488,170,0,48.972
6.3,0,39.685,0,1,0.0
6.3,0,39.685,10,0,10747.312
6.3,0,39.685,20,0,41318.931
6.3,0,39.685,30,0,87120.61
6.3,0,39.685,40,0,141337.048
6.3,0,39.685,50,0,196085.087
6.3,0,39.685,60,0,243720.655
6.3,0,39.685,70,0,278094.163
6.3,0,39.685,80,0,295559.717
6.3,0,39.685,90,0,295627.806
6.3,0,39.685,100,0,281346.116
6.3,0,39.685,110,0,260117.905
6.3,0,39.685,120,0,249551.435
6.3,0,39.685,130,0,370608.703
6.3,0,39.685,140,0,111691.518
6.3,0,39.685,150,0,7930.739
6.3,0,39.685,160,0,196.56
6.3,0,39.685,170,0,55.689
6.3,0,73.293,0,0,0.0
6.3,0,73.293,10,0,32221.305
6.3,0,73.293,20,0,123962.337
6.3,0,73.293,30,0,261418.318
6.3,0,73.293,40,0,424151.239
6.3,0,73.293,50,0,588517.004
6.3,0,73.293,60,0,731581.51
6.3,0,73.293,70,0,834881.477
6.3,0,73.293,80,0,887444.98
6.3,0,73.293,90,0,887735.297
6.3,0,73.293,100,0,844749.58
6.3,0,73.293,110,0,780282.699
6.3,0,73.293,120,0,745124.472
6.3,0,73.293,130,0,1062369.21
6.3,0,73.293,140,0,374519.183
6.3,0,73.293,150,0,26577.68
6.3,0,73.293,160,0,815.072
6.3,0,73.293,170,0,75.999
6.3,0,135.364,0,0,0.0
6.3,0,135.364,10,0,102142.48
6.3,0,135.364,20,0,393059.306
6.3,0,135.364,30,0,828963.522
6.3,0,135.364,40,0,1345070.968
6.3,0,135.364,50,0,1866427.745
6.3,0,135.364,60,0,2320317.298
6.3,0,135.364,70,0,2648174.099
6.3,0,135.364,80,0,2815146.971
6.3,0,135.364,90,0,2816235.774
6.3,0,135.364,100,0,2679693.989
6.3,0,135.364,110,0,2473856.533
6.3,0,135.364,120,0,2356067.241
6.3,0,135.364,130,0,3283989.26
6.3,0,135.364,140,0,1272832.15
6.3,0,135.364,150,0,90026.005
6.3,0,135.364,160,0,3101.601
6.3,0,135.364,170,0,129.962
6.3,0,250.0,0,0,0.0
6.3,0,250.0,10,0,334492.574
6.3,0,250.0,20,0,1287282.092
6.3,0,250.0,30,0,2714965.574
6.3,0,250.0,40,0,4405415.693
6.3,0,250.0,50,0,6113192.323
6.3,0,250.0,60,0,7600156.556
6.3,0,250.0,70,0,8674466.765
6.3,0,250.0,80,0,9221871.855
6.3,0,250.0,90,0,9225758.882
6.3,0,250.0,100,0,8778146.832
6.3,0,250.0,110,0,8101404.287
6.3,0,250.0,120,0,7704069.845
6.3,0,250.0,130,0,10605653.243
6.3,0,250.0,140,0,4342172.457
6.3,0,250.0,150,0,306194.312
6.3,0,250.0,160,0,11238.823
6.3,0,250.0,170,0,276.665
11.635,0,1.0,0,0,0.0
11.635,0,1.0,10,0,4571.814
11.635,0,1.0,20,0,17489.939
11.635,0,1.0,30,0,36700.648
11.635,0,1.0,40,0,59141.979
11.635,0,1.0,50,0,81284.574
11.635,0,1.0,60,0,99723.284
11.635,0,1.0,70,0,111735.574
11.635,0,1.0,80,0,115708.551
11.635,0,1.0,90,0,111361.596
11.635,0,1.0,100,0,99730.3
11.635,0,1.0,110,0,82923.227
11.635,0,1.0,120,0,63711.014
11.635,0,1.0,130,0,45067.245
11.635,0,1.0,140,0,30006.5
11.635,0,1.0,150,0,27364.548
11.635,0,1.0,160,0,1318.506
11.635,0,1.0,170,0,4.126
11.635,0,1.847,0,1,0.0
11.635,0,1.847,10,0,5205.2
11.635,0,1.847,20,0,19921.631
11.635,0,1.847,30,0,41807.412
11.635,0,1.847,40,0,67375.298
11.635,0,1.847,50,0,92605.574
11.635,0,1.847,60,0,113619.734
11.635,0,1.847,70,0,127316.343
11.635,0,1.847,80,0,131857.35
11.635,0,1.847,90,0,126921.658
11.635,0,1.847,100,0,113686.884
11.635,0,1.847,110,0,94552.384
11.635,0,1.847,120,0,72671.072
